specimen_ID,digitizer,scale,x,y
,,,2495.5,907.5
DRA220815-017,Oliver,182.165,2852,940
,,184.391,2967.5,1131.5
,,173.159,2947.5,1151.5
,,,2803.5,1107.5
,,,2611.5,1003.5
,,,2519.5,1039.5
DRA220815-019,Oliver,184.694,2828,840
,,189.061,2975.5,1039.5
,,181.108,2947.5,1075.5
,,,2791.5,1035.5
,,,2555.5,935.5
,,,2491.5,983.5
DRA220815-020,Oliver,184.694,2831.5,1031.5
,,185.084,2907.5,1227.5
,,188.383,2883.5,1243.5
,,,2735.5,1183.5
,,,2555.5,1031.5
,,,2463.5,1043.5
DRA220815-021,Oliver,180.71,2952,828
,,180.4,3095.5,1027.5
,,173.159,3063.5,1047.5
,,,2899.5,1007.5
,,,2687.5,915.5
,,,2599.5,959.5
DRA220815-023,Oliver,180.4,2607.5,695.5
,,189.061,2723.5,911.5
,,192.666,2699.5,923.5
,,,2539.5,851.5
,,,2355.5,735.5
,,,2271.5,767.5
CAP220712-024,Oliver,173.159,2968,872
,,184.391,3027.5,1087.5
,,176.726,2995.5,1107.5
,,,2863.5,1015.5
,,,2695.5,839.5
,,,2611.5,863.5
CAP220712-009,RPS,184.003,2822,1062
,,178,2923.5,1242.5
,,176,2890.5,1252.5
,,,2760.5,1180.5
,,,2603.5,1068.5
,,,2534.5,1092.5
CAP220712-010,RPS,184,2933,826
,,182.025,3063.833,1032.167
,,191.042,3034.5,1066.833
,,,2863.833,992.167
,,,2642.5,862.833
,,,2578.5,909.5
CAP220712-014,RPS,191,2738,971
,,181.003,2815.5,1143.5
,,192.01,2796.5,1157.5
,,,2686.5,1073.5
,,,2529.5,970.5
,,,2470.5,998.5
DRA220717-001,RPS,184.391,3030,872
,,174.562,3070.833,1173.833
,,180.4,3018.833,1189.833
,,,2874.833,1049.833
,,,2686.833,808.5
,,,2573.5,825.833
DRA220815-010,RPS,184.878,2864,800
,,181.893,2976.833,1001.5
,,170.575,2940.833,1016.167
,,,2784.833,949.5
,,,2606.167,836.167
,,,2538.167,880.167
DRA220815-011,RPS,186.687,2771,699
,,186.687,2857.833,895.167
,,191.05,2829.833,920.5
,,,2687.167,847.167
,,,2493.833,709.833
,,,2415.167,745.833
DRA220815-012,RPS,184.532,3006,753
,,186.387,3056.833,973.167
,,174.413,3022.167,987.833
,,,2904.833,882.5
,,,2752.833,709.167
,,,2660.833,726.5
DRA220815-013,RPS,179.547,2849,852
,,175.034,2954.167,1048.167
,,173.649,2927.5,1069.5
,,,2767.5,997.5
,,,2574.167,866.833
,,,2500.833,906.833
DRA220815-017,RPS,177.553,2847,936
,,182.538,2968.5,1134.833
,,173.833,2937.833,1152.167
,,,2788.5,1100.167
,,,2611.167,998.833
,,,2516.5,1042.833
DRA220815-019,RPS,184.532,2826,848
,,180.469,2973.5,1042.5
,,189.518,2948.167,1071.833
,,,2784.167,1031.833
,,,2552.167,930.5
,,,2488.167,994.5
DRA220815-020,RPS,189.594,2828,1041
,,179.547,2920.167,1239.167
,,186.526,2882.833,1261.833
,,,2744.167,1185.833
,,,2557.5,1019.167
,,,2465.5,1041.833
DRA220815-021,RPS,177.722,2950,836
,,188.521,3089.833,1017.5
,,181.466,3067.167,1052.167
,,,2895.167,1006.833
,,,2684.5,906.833
,,,2596.5,958.833
DRA220815-023,RPS,180.544,2608,701
,,178.55,2716.167,907.167
,,188.86,2697.5,928.5
,,,2534.833,853.833
,,,2349.5,732.5
,,,2273.5,769.833
DRA220815-024,RPS,176.726,2967,865
,,179.338,3031.833,1093.833
,,180.544,3003.833,1111.167
,,,2869.167,1015.167
,,,2695.833,839.167
,,,2614.5,860.5
CAP220712-009,KD,179.01,1001,895
,,180,846.5,1038.83
,,167,871.83,1057.5
,,,1021.17,1030.83
,,,1209.17,976.17
,,,1263.83,1016.17
CAP220712-010,KD,182.01,884,582
,,186,736.17,771.17
,,179,769.5,801.83
,,,936.17,755.17
,,,1166.5,648.5
,,,1223.83,697.83
CAP220712-014,KD,184.01,1161,768
,,182,1036.83,920.83
,,184,1058.17,942.17
,,,1192.83,902.17
,,,1382.17,807.5
,,,1435.5,836.83
DRA220717-001,KD,178.91,590,701
,,171.75,543.5,1020.5
,,171.94,583.5,1034.5
,,,747.5,880.5
,,,921.5,656.5
,,,1033.5,658.5
DRA220815-010,KD,173.4,1038,951
,,170.95,973.5,1166.5
,,181.87,1017.5,1170.5
,,,1144.83,1079.17
,,,1306.17,925.83
,,,1383.5,947.17
DRA220815-011,KD,181.34,942,561
,,180.35,796.5,720.5
,,170.99,821.83,736.5
,,,973.83,709.83
,,,1199.17,625.83
,,,1269.83,664.5
DRA220815-012,KD,160.61,1186,672
,,168.96,1025.5,835.5
,,150.21,1045.5,859.5
,,,1207.5,827.5
,,,1427.5,751.5
,,,1483.5,803.5
DRA220815-013,KD,166.97,1032,618
,,183.7,864.83,776.5
,,162,890.17,796.5
,,,1062.17,773.83
,,,1283.5,715.17
,,,1343.5,768.5
DRA220815-017,KD,175.93,934,727
,,173.67,781.5,914.5
,,176.92,815.5,930.5
,,,981.5,884.5
,,,1183.5,796.5
,,,1249.5,832.5
DRA220815-019,KD,178.4,806,632
,,182.54,633.5,807.5
,,178.91,655.5,841.5
,,,825.5,821.5
,,,1087.5,743.5
,,,1155.5,811.5
DRA220815-020,KD,169.19,782,903
,,177.13,721.5,1124.5
,,173.16,753.5,1138.5
,,,895.5,1038.5
,,,1071.5,874.5
,,,1151.5,880.5
DRA220815-021,KD,159.52,1060,772
,,177.91,965.5,979.5
,,180.19,989.5,1003.5
,,,1149.5,925.5
,,,1335.5,781.5
,,,1423.5,815.5
DRA220815-023,KD,177.37,802,612
,,183.32,679.5,801.5
,,180.54,703.5,827.5
,,,861.5,773.5
,,,1057.5,675.5
,,,1119.5,717.5
DRA220815-024,KD,179.61,984,623
,,182.4,835.5,812.5
,,154.83,863.5,846.5
,,,1037.5,788.5
,,,1251.5,692.5
,,,1327.5,736.5
