specimen_ID,digitizer,scale,x,y
,,,2053.167,1605.833
,,,2234.5,2027.167
DRA220815-024,CN,169.499,3242,2139
,,185.327,2880.833,1683.167
,,179.402,2883.5,1795.167
,,,2938.167,1896.5
,,,3000.833,1957.833
,,,2986.167,2049.833
,,,2914.167,2104.5
,,,2888.833,2084.5
,,,2826.167,1912.5
,,,2739.5,1800.5
,,,2750.167,1710.833
,,,2711.5,1586.833
,,,2339.5,1378.833
,,,2559.5,1725.5
,,,2495.5,1796.167
,,,2479.5,1830.833
,,,2700.833,2046.167
,,,2394.167,1860.5
,,,2259.5,1456.167
,,,2391.5,1926.833
CAP220712-009,HJ,178,3272,1881
,,180.01111,2863.5,1630.5
,,164.01219,2891.5,1710.5
,,,2961.5,1774.5
,,,3033.5,1810.5
,,,3047.5,1904.5
,,,3003.83325,1939.5
,,,2985.16675,1944.83337
,,,2879.83325,1831.5
,,,2777.16675,1760.83337
,,,2765.16675,1691.5
,,,2688.5,1595.5
,,,2338.5,1551.5
,,,2610.5,1749.5
,,,2578.5,1829.5
,,,2576.5,1847.5
,,,2822.5,1967.5
,,,2524.5,1899.5
,,,2296.5,1615.5
,,,2530.5,1935.5
CAP220712-010,HJ,178,3306,1982
,,178,2897.5,1587.5
,,168.0119,2905.5,1685.5
,,,2975.5,1783.5
,,,3055.5,1839.5
,,,3033.5,1961.5
,,,2977.5,2003.5
,,,2955.5,1993.5
,,,2869.5,1837.5
,,,2767.5,1719.5
,,,2767.5,1637.5
,,,2709.5,1503.5
,,,2301.5,1349.5
,,,2573.5,1653.5
,,,2509.5,1719.5
,,,2505.5,1753.5
,,,2749.5,1973.5
,,,2417.5,1791.5
,,,2233.5,1411.5
,,,2413.5,1839.5
CAP220712-014,HJ,172.01163,3107,1912
,,180,2760.5,1619.5
,,182.01099,2774.5,1695.5
,,,2834.5,1767.5
,,,2902.5,1815.5
,,,2888.5,1935.5
,,,2844.5,1947.5
,,,2820.5,1939.5
,,,2748.5,1823.5
,,,2660.5,1741.5
,,,2656.5,1659.5
,,,2600.5,1563.5
,,,2272.5,1449.5
,,,2502.5,1697.5
,,,2472.5,1767.5
,,,2468.5,1799.5
,,,2664.5,1953.5
,,,2400.5,1841.5
,,,2218.5,1523.5
,,,2388.5,1873.5
DRA220717-001,HJ,186.38669,3274,2300
,,180.62392,2880.5,1696.5
,,165.43579,2859.5,1837.5
,,,2928.5,1966.5
,,,2994.5,2050.5
,,,2928.5,2218.5
,,,2865.5,2236.5
,,,2826.5,2215.5
,,,2775.5,2011.5
,,,2673.5,1852.5
,,,2694.5,1720.5
,,,2655.5,1549.5
,,,2232.5,1276.5
,,,2445.5,1744.5
,,,2358.5,1825.5
,,,2340.5,1858.5
,,,2568.5,2146.5
,,,2226.5,1882.5
,,,2106.5,1342.5
,,,2190.5,1930.5
DRA220815-010,HJ,180.89776,3384,2168
,,182.70194,2995.5,1755.5
,,170.423,3003.5,1855.5
,,,3075.5,1953.5
,,,3145.5,2011.5
,,,3137.5,2123.5
,,,3079.5,2161.5
,,,3045.5,2149.5
,,,2961.5,1999.5
,,,2875.5,1907.5
,,,2869.5,1797.5
,,,2819.5,1685.5
,,,2447.5,1537.5
,,,2689.5,1839.5
,,,2641.5,1909.5
,,,2625.5,1945.5
,,,2861.5,2149.5
,,,2561.5,1977.5
,,,2379.5,1607.5
,,,2549.5,2027.5
DRA220815-011,HJ,182.53767,3046,2157
,,174.4133,2695.5,1674.5
,,178.40404,2693.5,1778.5
,,,2747.5,1886.5
,,,2815.5,1964.5
,,,2783.5,2056.5
,,,2727.5,2078.5
,,,2701.5,2064.5
,,,2655.5,1914.5
,,,2561.5,1794.5
,,,2571.5,1706.5
,,,2539.5,1586.5
,,,2185.5,1384.5
,,,2393.5,1726.5
,,,2331.5,1782.5
,,,2319.5,1816.5
,,,2521.16675,2026.83325
,,,2248.83325,1847.5
,,,2112.5,1444.16663
,,,2236.5,1876.83337
DRA220815-012,HJ,171.65663,3012.5,2186.5
,,177.40631,2778.5,1682.5
,,165.43579,2754.5,1775.5
,,,2787.5,1877.5
,,,2838.5,1970.5
,,,2784.5,2060.5
,,,2718.5,2072.5
,,,2691.5,2051.5
,,,2688.5,1886.5
,,,2619.5,1751.5
,,,2661.5,1673.5
,,,2649.5,1553.5
,,,2343.5,1283.5
,,,2481.5,1634.5
,,,2403.5,1670.5
,,,2376.5,1697.5
,,,2535.5,1967.5
,,,2316.5,1706.5
,,,2265.5,1301.5
,,,2280.5,1742.5
DRA220815-013,HJ,178.40404,3054.5,2243.5
,,180.54362,2756.5,1757.5
,,168.58232,2744.5,1853.5
,,,2790.5,1961.5
,,,2850.5,2047.5
,,,2794.5,2157.5
,,,2732.5,2179.5
,,,2704.5,2147.5
,,,2656.5,1983.5
,,,2592.5,1849.5
,,,2624.5,1755.5
,,,2598.5,1619.5
,,,2256.5,1395.5
,,,2418.5,1741.5
,,,2350.5,1807.5
,,,2328.5,1841.5
,,,2512.5,2087.5
,,,2250.5,1853.5
,,,2172.5,1417.5
,,,2228.5,1877.5
DRA220815-017,HJ,182.70194,3239,2111
,,178.40404,2848.5,1730.5
,,166.30093,2860.5,1816.5
,,,2934.5,1920.5
,,,3002.5,1974.5
,,,3000.5,2086.5
,,,2944.5,2138.5
,,,2896.5,2116.5
,,,2818.5,1972.5
,,,2726.5,1858.5
,,,2734.5,1782.5
,,,2664.5,1654.5
,,,2286.5,1508.5
,,,2540.5,1812.5
,,,2482.5,1882.5
,,,2472.5,1926.5
,,,2716.5,2114.5
,,,2400.5,1964.5
,,,2206.5,1590.5
,,,2392.5,2006.5
DRA220815-019,HJ,176.55594,3399,2032
,,180.39956,2924.5,1661.5
,,180.27756,2946.5,1757.5
,,,3036.5,1847.5
,,,3114.5,1893.5
,,,3120.5,2005.5
,,,3068.5,2063.5
,,,3016.5,2041.5
,,,2928.5,1893.5
,,,2802.5,1797.5
,,,2794.5,1715.5
,,,2712.5,1597.5
,,,2304.5,1485.5
,,,2620.5,1753.5
,,,2572.5,1829.5
,,,2568.5,1871.5
,,,2842.5,2061.5
,,,2504.5,1923.5
,,,2246.5,1547.5
,,,2484.5,1947.5
DRA220815-020,HJ,180.89776,3027,2248
,,184.53184,2706.5,1763.5
,,172.29045,2700.5,1863.5
,,,2752.5,1975.5
