specimen_ID,digitizer,scale,x,y
,,,1227.167,772.167
,,,1060.5,750.833
,,,1020.5,798.833
JG170712-028,CJS,140.032,1267,622
,,140.057,1402.833,728.833
,,139.004,1390.833,747.5
,,,1273.5,748.833
,,,1108.167,723.5
,,,1060.167,763.5
JG170712-049,CJS,139.058,1332,470
,,140.014,1182.5,572.833
,,142.014,1199.833,595.5
,,,1326.5,598.167
,,,1498.5,571.5
,,,1539.833,620.833
JL190619-006,CJS,142,1379,502
,,140,1200.5,623.5
,,143,1214.5,649.5
,,,1382.5,659.5
,,,1598.5,641.5
,,,1642.5,705.5
AOI190709-001,EN,140.057,1520,485
,,144,1405.5,584.5
,,148,1417.5,606.5
,,,1519.5,596.5
,,,1671.5,562.5
,,,1717.5,594.5
FJ170709-063,EN,138.13,1255.5,591.5
,,141.032,1127.5,687.5
,,150.03,1145.5,715.5
,,,1247.5,705.5
,,,1413.5,673.5
,,,1453.5,711.5
FJ170712-011,EN,140.057,1553.5,1029.5
,,132.061,1453.5,1139.5
,,148.054,1467.5,1161.5
,,,1581.5,1139.5
,,,1731.5,1095.5
,,,1777.5,1131.5
FJ190711-001,EN,136.059,1391.5,499.5
,,148,1175.5,627.5
,,144.222,1187.5,663.5
,,,1359.5,683.5
,,,1587.5,679.5
,,,1635.5,763.5
FJ190827-007,EN,140,1016,908
,,128.062,859.5,1047.5
,,136.938,875.5,1075.5
,,,1019.5,1055.5
,,,1211.5,1003.5
,,,1275.5,1055.5
FJ190827-009,EN,200.639,819.5,315.5
,,188,619.5,491.5
,,208.346,627.5,515.5
,,,807.5,495.5
,,,1087.5,455.5
,,,1159.5,511.5
FJ190827-017,EN,128.25,886,592
,,136.235,721.5,675.5
,,140,723.5,695.5
,,,847.5,713.5
,,,1049.5,715.5
,,,1079.5,761.5
JG170708-021,EN,136.059,1348,548
,,132.061,1223.5,651.5
,,140.228,1231.5,671.5
,,,1339.5,675.5
,,,1507.5,643.5
,,,1551.5,691.5
JG170712-022,EN,150,1367.5,639.5
,,141.128,1243.5,735.5
,,138.293,1243.5,763.5
,,,1355.5,771.5
,,,1535.5,756.833
,,,1566.167,792.833
JG170712-028,EN,138.033,1315.5,619.5
,,138.033,1183.5,722.5
,,147.122,1183.5,764.5
,,,1315.5,752.5
,,,1480.5,722.5
,,,1531.5,764.5
JG170712-049,EN,148.054,1332,472
,,136.059,1185.5,569.5
,,144.222,1193.5,597.5
,,,1321.5,599.5
,,,1497.5,569.5
,,,1539.5,613.5
JL190619-006,EN,144.056,1371.5,499.5
,,124.064,1187.5,619.5
,,140,1215.5,647.5
,,,1369.5,663.5
,,,1591.5,643.5
,,,1643.5,703.5
AOI190709-001,IA,180.1,1154,1082
,,171.105,1284.833,1151.5
,,171.026,1276.833,1174.167
,,,1176.833,1188.833
,,,1020.833,1196.833
,,,986.167,1231.5
FJ170709-063,IA,165.027,1337,597
,,168.027,1456.833,699.5
,,168.027,1442.167,716.833
,,,1346.167,707.5
,,,1175.5,679.5
,,,1138.167,706.167
FJ170712-011,IA,171,1141,548
,,171.026,1278.167,632.167
,,168.027,1262.167,650.833
,,,1166.167,664.167
,,,984.833,660.167
,,,950.167,696.167
FJ190711-001,IA,171.026,1200,504
,,171,1415.5,627.5
,,171.026,1403.5,663.5
,,,1237.5,685.5
,,,995.5,689.5
,,,953.5,767.5
FJ190827-007,IA,180.025,1552,390
,,174.026,1717.5,511.5
,,183.025,1705.5,531.5
,,,1549.5,523.5
,,,1359.5,499.5
,,,1317.5,553.5
FJ190827-009,IA,249.018,1786,325
,,246.018,1983.5,494.5
,,249.018,1963.5,520.5
,,,1781.5,512.5
,,,1499.5,456.5
,,,1441.5,516.5
FJ190827-017,IA,156.029,1718,597
,,159.028,1875.5,676.5
,,168.027,1865.5,698.5
,,,1747.5,716.5
,,,1545.5,716.5
,,,1517.5,764.5
JG170708-021,IA,174.026,1250,555
,,171,1373.5,658.5
,,180,1361.5,676.5
,,,1251.5,674.5
,,,1081.5,646.5
,,,1045.5,686.5
JG170712-022,IA,165.027,1228,647
,,174.103,1362.167,745.167
,,174.233,1350.167,766.5
,,,1236.833,769.167
,,,1055.5,753.167
,,,1023.5,790.5
JG170712-028,IA,177,1276,626
,,174.026,1411.5,732.833
,,165.027,1396.833,748.833
,,,1282.167,748.833
,,,1104.833,727.5
,,,1064.833,759.5
JG170712-049,IA,177.025,1264.833,474.833
,,165,1414.167,572.167
,,180.025,1394.167,593.5
,,,1272.833,598.833
,,,1088.833,569.5
,,,1054.167,617.5
JL190619-006,IA,174.011,1226,506
,,180.011,1399.5,621.5
,,176.045,1379.5,649.5
,,,1219.5,657.5
,,,997.5,641.5
,,,955.5,703.5
AOI190709-001,JB,150,1071,486
,,135.133,1184.5,585.5
,,135.033,1170.5,601.5
,,,1068.5,597.5
,,,922.5,565.5
,,,874.5,601.5
FJ170709-063,JB,144,1331,591
,,150,1454.5,696.5
,,144,1442.5,714.5
,,,1342.5,710.5
,,,1180.5,674.5
,,,1136.5,710.5
FJ170712-011,JB,141,1140,548
,,144,1273.5,627.5
,,144,1259.5,647.5
,,,1163.5,661.5
,,,985.5,661.5
,,,949.5,703.5
FJ190711-001,JB,144,1197,507
,,147.031,1406.5,626.5
,,141,1400.5,662.5
,,,1226.5,686.5
,,,998.5,683.5
,,,956.5,758.5
FJ190827-007,JB,153,1581,912
,,144.031,1718.5,1043.5
,,156,1706.5,1073.5
,,,1565.5,1055.5
,,,1367.5,1001.5
,,,1316.5,1052.5
FJ190827-009,JB,198,1767,321
,,210,1964.5,485.5
,,204,1949.5,509.5
,,,1775.5,503.5
,,,1502.5,452.5
,,,1430.5,509.5
FJ190827-017,JB,141,1707,594
,,156,1865.5,674.5
,,144,1856.5,695.5
,,,1742.5,713.5
,,,1541.5,716.5
,,,1511.5,758.5
JG170708-021,JB,135,1245,549
,,135,1361.5,647.5
,,138.033,1355.5,677.5
,,,1241.5,671.5
,,,1076.5,641.5
,,,1031.5,683.5
JG170712-022,JB,144,1215,648
,,144.031,1352.5,737.5
,,138.033,1343.5,761.5
,,,1235.5,770.5
,,,1061.5,749.5
,,,1022.5,797.5
JG170712-028,JB,144,1266,618
,,147,1406.5,728.5
,,144,1394.5,752.5
,,,1274.5,752.5
,,,1112.5,722.5
,,,1064.5,764.5
JG170712-049,JB,144,1257,468
,,144,1403.5,575.5
,,141,1394.5,596.5
,,,1271.5,599.5
,,,1091.5,572.5
,,,1040.5,620.5
JL190619-006,JB,144,1218,495
,,147,1388.5,617.5
,,138,1388.5,650.5
,,,1214.5,659.5
,,,995.5,638.5
,,,938.5,707.5
AOI190709-001,JR,142,1152,1078
,,141.014,1282.833,1151.5
,,142.004,1272.167,1171.5
,,,1174.833,1188.833
,,,1026.833,1191.5
,,,986.833,1228.833
FJ170709-063,JR,139.014,1337,594
,,140.004,1454.167,695.167
,,136.033,1442.167,715.167
,,,1344.833,708.5
,,,1179.5,675.167
,,,1135.5,709.833
FJ170712-011,JR,139.014,1139,548
,,138.004,1275.167,630.167
,,142,1260.5,650.167
,,,1159.167,663.5
,,,987.167,660.833
,,,951.167,700.833
FJ190711-001,JR,141.004,1197,501
,,140.004,1410.5,628.5
,,142.014,1394.5,658.5
,,,1222.5,686.5
,,,998.5,686.5
,,,956.5,760.5
FJ190827-007,JR,140,1578,908
,,141,1729.5,1048.167
,,142.004,1708.167,1069.5
,,,1558.833,1050.833
,,,1369.5,1001.5
,,,1316.167,1052.167
FJ190827-009,JR,205.061,1772,314
,,204.061,1971.5,485.5
,,204.157,1949.5,515.5
,,,1773.5,507.5
,,,1501.5,451.5
,,,1431.5,517.5
FJ190827-017,JR,141,1710,592
,,142.014,1866.833,674.167
,,139.014,1858.833,692.833
,,,1740.167,711.5
,,,1544.167,712.833
,,,1514.833,762.167
JG170708-021,JR,139.014,1243,552
,,140.014,1368.5,654.833
,,139.004,1356.5,677.5
,,,1245.833,676.167
,,,1079.167,644.167
,,,1033.833,681.5
JG170712-022,JR,139.004,1220,647
,,141.057,1357.5,743.5
,,141.014,1344.5,763.5
,,,1230.5,769.5
,,,1060.5,752.5
,,,1021.5,795.5
JG170712-028,JR,140.014,1267,621
,,138.033,1407.167,725.167
,,143.031,1391.167,749.167
,,,1276.5,750.5
,,,1109.833,723.833
,,,1060.5,762.5
JG170712-049,JR,139.014,1259,469
,,140.014,1408.5,572.833
,,141.057,1392.5,595.5
,,,1269.833,598.167
,,,1095.167,571.5
,,,1049.833,620.833
JL190619-006,JR,140.004,1212,497
,,137,1393.5,622.5
,,143.003,1376.167,647.833
,,,1210.833,659.833
,,,994.833,642.167
,,,949.5,703.5
AOI190709-001,MV,141.004,1072,485
,,143.003,1186.167,585.833
,,140,1170.167,601.833
,,,1071.5,596.5
,,,923.5,564.5
,,,874.167,595.167
FJ170709-063,MV,139.032,1335,593
,,138.014,1455.833,695.167
,,140.014,1441.167,711.167
,,,1342.5,707.833
,,,1179.167,676.5
,,,1138.5,711.167
FJ170712-011,MV,142.004,1141,547
,,139.004,1275.5,628.167
,,140.004,1258.167,650.833
,,,1158.167,662.833
,,,986.167,658.833
,,,948.833,700.167
FJ190711-001,MV,142,1216,1006
,,142.004,1393.5,1191.5
,,142.004,1367.5,1215.5
,,,1189.5,1191.5
,,,969.5,1125.5
,,,897.5,1189.5
FJ190827-007,MV,142,1557,389
,,142.004,1711.5,504.5
,,139.004,1702.167,524.5
,,,1554.167,523.167
,,,1359.5,495.167
,,,1315.5,555.167
FJ190827-009,MV,202.158,1770,312
,,206.155,1973.5,485.5
,,204.039,1951.5,511.5
,,,1775.5,507.5
,,,1499.5,455.5
,,,1431.5,517.5
FJ190827-017,MV,143,1710,591
,,141,1869.833,673.5
,,140,1859.167,692.167
,,,1741.833,713.5
,,,1541.833,713.5
,,,1515.167,760.167
JG170708-021,MV,139.032,1075,1054
,,136.033,1207.167,1149.5
,,137.015,1199.167,1172.167
,,,1083.167,1174.833
,,,920.5,1156.167
,,,887.167,1200.167
JG170712-022,MV,140,1220,646
,,140.014,1357.5,744.5
,,139.014,1345.5,764.5
,,,1231.5,766.5
,,,1059.5,750.5
,,,1022.5,792.5
JG170712-028,MV,141,1268,623
,,140,1407.5,725.5
,,139.004,1389.5,746.5
,,,1275.5,749.5
,,,1107.5,723.5
,,,1062.5,761.5
JG170712-049,MV,137,1260,470
,,140.014,1406.5,572.5
,,138.004,1389.5,594.5
,,,1267.5,597.5
,,,1094.5,571.5
,,,1049.5,616.5
JL190619-006,MV,141.001,1213,499
,,142.501,1391.5,623.5
,,141.504,1374.5,648.5
,,,1210.5,659.5
,,,996.5,640.5
,,,947.5,700.5
AOI190709-001,MLP,202.667,1073,489
,,219.333,1189.228,585.292
,,208.333,1171.084,606.028
,,,1069.996,595.66
,,,917.068,567.148
,,,873.004,595.66
FJ170709-063,MLP,141.032,1335,597
,,141.032,1457.5,695.5
,,144,1445.5,713.5
,,,1346.5,710.5
,,,1175.5,677.5
,,,1139.5,710.5
FJ170712-011,MLP,141,1140,546
,,141,1274.5,626.5
,,138,1265.5,650.5
,,,1160.5,665.5
,,,986.5,659.5
,,,947.5,701.5
FJ190711-001,MLP,135.033,1197,501
,,147.122,1412.5,629.5
,,138.033,1397.5,662.5
,,,1226.5,689.5
,,,995.5,686.5
,,,953.5,764.5
FJ190827-007,MLP,147.031,1581,915
,,138.033,1730.5,1043.5
,,147.122,1712.5,1070.5
,,,1565.5,1052.5
,,,1373.5,998.5
,,,1316.5,1052.5
FJ190827-009,MLP,204.022,1773,312
,,204,1967.5,485.5
,,204.088,1952.5,515.5
,,,1778.5,506.5
,,,1496.5,455.5
,,,1436.5,512.5
FJ190827-017,MLP,144.031,1713,594
,,147,1868.5,671.5
,,144.281,1859.5,701.5
,,,1742.5,716.5
,,,1541.5,716.5
,,,1517.5,767.5
JG170708-021,MLP,138,1245,552
,,138,1370.5,653.5
,,147,1355.5,677.5
,,,1250.5,677.5
,,,1076.5,647.5
,,,1040.5,680.5
JG170712-022,MLP,132,1218,645
,,141.032,1355.5,743.5
,,144,1346.5,764.5
,,,1235.5,770.5
,,,1055.5,752.5
,,,1022.5,791.5
JG170712-028,MLP,135,1269,621
,,141,1406.5,725.5
,,153,1400.5,752.5
,,,1283.5,752.5
,,,1106.5,725.5
,,,1064.5,761.5
JG170712-049,MLP,141,1263,468
,,138.033,1409.5,572.5
,,141,1394.5,596.5
,,,1274.5,602.5
,,,1091.5,572.5
,,,1049.5,620.5
JL190619-006,MLP,147.122,1218,498
,,141.032,1388.5,617.5
,,141,1388.5,650.5
,,,1217.5,662.5
,,,989.5,644.5
,,,947.5,698.5
AOI190709-001,RC,106.02,1153,1077
,,103.02,1283.5,1147.5
,,105,1271.5,1170.167
,,,1176.833,1188.833
,,,1023.5,1192.833
,,,982.167,1228.833
FJ170709-063,RC,108.02,1329,588
,,104.02,1454.5,698.5
,,102.18,1448.5,722.5
,,,1346.5,716.5
,,,1172.5,674.5
,,,1136.5,716.5
FJ170712-011,RC,100.32,1138,548
,,106.02,1273.5,629.5
,,100.02,1259.5,651.5
,,,1155.5,659.5
,,,983.5,657.5
,,,947.5,699.5
FJ190711-001,RC,105,1200,501
,,105.04,1415.5,620.5
,,102,1397.5,659.5
,,,1223.5,683.5
,,,998.5,686.5
,,,956.5,761.5
FJ190827-007,RC,106.02,1574,900
,,106,1733.5,1045.5
,,106,1711.5,1073.5
,,,1559.5,1051.5
,,,1373.5,995.5
,,,1319.5,1051.5
FJ190827-009,RC,147.03,1722,1047
,,148.54,1937.5,1196.5
,,153.29,1925.5,1235.5
,,,1748.5,1235.5
,,,1481.5,1202.5
,,,1409.5,1271.5
FJ190827-017,RC,104.02,1709,592
,,102.8,1864.5,673.5
,,101,1862.5,693.5
,,,1742.5,711.5
,,,1540.5,711.5
,,,1514.5,765.5
JG170708-021,RC,102.04,1076,1050
,,105.04,1207.5,1143.5
,,105,1201.5,1171.5
,,,1081.5,1173.5
,,,921.5,1155.5
,,,885.5,1201.5
JG170712-022,RC,106.08,1217,641
,,104.08,1358.5,740.5
,,106.17,1342.5,764.5
,,,1230.5,768.5
,,,1058.5,748.5
,,,1018.5,792.5
JG170712-028,RC,102.02,1268,616
,,104.02,1409.5,727.5
,,100,1397.5,751.5
,,,1273.5,749.5
,,,1105.5,719.5
,,,1055.5,763.5
JG170712-049,RC,102,1256,466
,,106,1409.5,573.5
,,104.02,1389.5,595.5
,,,1269.5,595.5
,,,1093.5,571.5
,,,1043.5,617.5
JL190619-006,RC,105,1218,495
,,105.04,1391.5,617.5
,,102.4,1388.5,644.5
,,,1211.5,656.5
,,,995.5,635.5
,,,941.5,704.5
AOI190709-001,RAK,102,1152,1077
,,109,1283.5,1148.5
,,102.044,1284.5,1169.5
,,,1178.5,1193.5
,,,1025.5,1193.5
,,,986.5,1229.5
FJ170709-063,RAK,102.176,1335,588
,,100.05,1460.5,695.5
,,102.176,1448.5,716.5
,,,1346.5,710.5
,,,1184.5,677.5
,,,1136.5,716.5
FJ170712-011,RAK,105.171,1136.5,548.5
,,102.176,1274.5,626.5
,,105.043,1271.5,656.5
,,,1163.5,665.5
,,,989.5,656.5
